count	DATE2	PRCP	SNWD	SNOW	TMAX	TMIN	AWND2	weekday	isWeekend
1125	01/29/2015	0.02	5.9	0.0	36	19	3.8	4	0
1444	03/04/2008	0.19	0.0	0.0	63	45	6.7	2	0
1342	04/02/2007	0.06	0.0	0.0	56	42	4.3	1	0
964	04/08/2012	0.0	0.0	0.0	67	44	7.8	7	1
1584	04/29/2009	0.0	0.0	0.0	69	49	7.4	3	0
1298	05/10/2014	0.37	0.0	0.0	83	57	4.5	6	1
1573	05/20/2009	0.0	0.0	0.0	82	52	4.9	3	0
1427	05/22/2009	0.0	0.0	0.0	84	62	6.3	5	0
1360	07/03/2006	0.0	0.0	0.0	87	72	4.7	1	0
1549	07/29/2015	0.0	0.0	0.0	96	78	3.8	3	0
1284	07/31/2010	0.0	0.0	0.0	85	66	4.9	6	1
1540	08/19/2015	0.0	0.0	0.0	87	77	4.0	3	0
1461	08/25/2015	0.0	0.0	0.0	90	73	3.8	2	0
1448	10/16/2014	1.11	0.0	0.0	71	61	4.0	4	0
1158	11/05/2006	0.0	0.0	0.0	50	37	2.0	7	1
1249	11/08/2009	0.0	0.0	0.0	69	47	2.5	7	1
1078	11/23/2008	0.0	0.0	0.0	36	24	6.0	7	1
1225	12/09/2006	0.0	0.0	0.0	38	24	7.8	6	1
1286	12/11/2010	0.0	0.0	0.0	46	34	4.3	6	1
1259	01/08/2014	0.0	0.0	0.0	22	9	7.2	3	0
1566	01/15/2010	0.0	0.0	0.0	50	35	7.8	5	0
1368	01/19/2008	0.0	0.0	0.0	37	32	0.0	6	1
1360	02/19/2009	0.0	0.0	0.0	50	27	9.2	4	0
1221	04/21/2014	0.0	0.0	0.0	67	41	4.3	1	0
1317	05/05/2007	0.0	0.0	0.0	73	51	4.5	6	1
1561	05/05/2010	0.0	0.0	0.0	80	58	5.1	3	0
1366	05/08/2014	0.41	0.0	0.0	59	53	4.5	4	0
1367	07/02/2010	0.0	0.0	0.0	82	61	4.9	5	0
1411	08/20/2013	0.0	0.0	0.0	88	68	2.9	2	0
1410	09/09/2008	0.45	0.0	0.0	75	65	4.9	2	0
1484	09/14/2011	0.0	0.0	0.0	85	70	4.9	3	0
1577	09/18/2008	0.0	0.0	0.0	73	59	7.4	4	0
1571	09/18/2015	0.0	0.0	0.0	87	68	2.0	5	0
1399	10/25/2011	0.0	0.0	0.0	62	50	6.5	2	0
1502	11/08/2007	0.0	0.0	0.0	46	35	1.3	4	0
1392	11/24/2010	0.0	0.0	0.0	50	41	9.6	3	0
974	01/11/2009	0.19	1.0	0.0	31	24	6.9	7	1
1393	02/15/2011	0.0	5.0	0.0	37	25	11.6	2	0
1440	02/24/2009	0.0	0.0	0.0	37	22	9.6	2	0
1001	02/26/2006	0.0	0.0	0.0	29	18	12.5	7	1
1177	04/11/2009	0.56	0.0	0.0	50	41	8.5	6	1
1315	05/06/2006	0.0	0.0	0.0	77	50	7.2	6	1
1098	05/15/2011	0.89	0.0	0.0	69	58	4.3	7	1
1593	05/21/2008	0.0	0.0	0.0	68	47	4.0	3	0
1485	06/30/2011	0.0	0.0	0.0	82	65	4.9	4	0
1434	08/15/2013	0.0	0.0	0.0	78	59	3.6	4	0
959	01/03/2010	0.0	0.0	0.0	22	17	14.3	7	1
860	02/02/2015	1.02	7.1	5.0	34	14	9.8	1	0
1212	02/14/2012	0.02	0.0	0.0	47	36	4.3	2	0
997	03/13/2010	3.86	0.0	0.0	46	38	22.8	6	1
1101	03/30/2010	2.45	0.0	0.0	50	41	10.7	2	0
1523	04/08/2009	0.0	0.0	0.0	48	35	6.3	3	0
1095	04/19/2009	0.0	0.0	0.0	63	47	8.1	7	1
1593	06/12/2007	1.18	0.0	0.0	83	65	2.2	2	0
1615	06/13/2007	0.0	0.0	0.0	66	57	6.9	3	0
1199	07/31/2011	0.0	0.0	0.0	91	71	2.9	7	1
1375	08/04/2010	0.0	0.0	0.0	91	75	5.4	3	0
1476	09/02/2009	0.0	0.0	0.0	77	57	2.2	3	0
1478	09/09/2015	0.0	0.0	0.0	90	76	3.8	3	0
1464	09/22/2010	0.12	0.0	0.0	87	64	5.8	3	0
1314	10/04/2009	0.0	0.0	0.0	74	57	4.3	7	1
1365	10/05/2009	0.0	0.0	0.0	67	53	7.2	1	0
1322	12/10/2010	0.0	0.0	0.0	38	22	4.5	5	0
1177	01/03/2011	0.0	6.0	0.0	36	28	8.7	1	0
1521	01/21/2010	0.0	0.0	0.0	41	31	3.1	4	0
1165	02/10/2014	0.0	9.8	0.0	29	21	7.2	1	0
1509	03/18/2009	0.0	0.0	0.0	64	41	8.1	3	0
1325	03/26/2014	0.0	0.0	0.0	36	24	11.9	3	0
1331	03/28/2013	0.0	0.0	0.0	51	37	5.8	4	0
1451	04/13/2010	0.0	0.0	0.0	56	47	4.9	2	0
1423	04/17/2015	0.08	0.0	0.0	71	55	5.1	5	0
1316	05/13/2013	0.0	0.0	0.0	58	45	7.2	1	0
1521	06/01/2007	0.0	0.0	0.0	88	64	2.9	5	0
1367	07/18/2009	0.02	0.0	0.0	83	68	6.5	6	1
1309	07/24/2010	0.0	0.0	0.0	97	80	5.4	6	1
1213	07/29/2012	0.01	0.0	0.0	80	68	3.6	7	1
1432	08/19/2014	0.0	0.0	0.0	83	63	3.8	2	0
1351	10/04/2011	0.0	0.0	0.0	63	49	4.7	2	0
1219	10/05/2014	0.0	0.0	0.0	61	46	5.6	7	1
1385	10/18/2010	0.0	0.0	0.0	60	50	5.8	1	0
1314	01/29/2013	0.06	0.0	0.0	49	36	4.5	2	0
1390	02/26/2008	0.21	0.0	0.0	47	38	4.3	2	0
