NTACODE	NTANAME	POP_TOT	POP_MALE_RT	POP_FEMALE_RT	RACE_HIS_LAT_RT	RACE_WHITE_RT	RACE_BLACK_RT	RACE_ASIAN_RT	POP_UNDER10YR_RT	POP_10TO19YR_RT	POP_20TO59YR_RT	POP_OVER60YR_RT	LABOR_FORCE	HOUSEHOLD_TOT	HOUSEHOLD_INCOME_AVE	EMPLOYED_RT	UNEMPLOYED_RT	HOUSEHOLD_WITHEARNING_RT	HOUSEHOLD_FOODSTAMP_RT	HOUSEHOLD_LT25K_RT	HOUSEHOLD_25KTO50K_RT	HOUSEHOLD_50KTO200K_RT	HOUSEUNITS_TOT	HOUSEUNITS_OCCUPIED	HOUSEUNITS_VACANT_RT	HOUSEUNITS_NOPLUMBING_RT	HOUSEUNITS_NOKITCHEN_RT	HOUSEUNITS_NOPHONE_RT	HOUSEUNITS_OWNER_RT	HOUSEUNITS_RENTER_RT	POP_OVER25YR	EDU_LT12_RT	EDU_PRIORCOLLEGE_RT	EDU_COLLEGE_RT	POP_PERHOUSEHOLD
BK72	Williamsburg	32828	0.512367491166	0.487632508834	0.115115145607	0.854362129889	0.023546972097	0.00091385402705	0.302668453759	0.210155964421	0.393170464238	0.0940051175825	8407	8299	35.3807687673	0.948019507552	0.0519804924467	0.765634413784	0.542354500542	0.56573081094	0.245089769851	0.175924810218	8939	8299	0.0715963754334	0.0264011634411	0.0162210538091	0.018570309878	0.138209422822	0.861790577177	12929	0.331580168613	0.591074329027	0.077345502359	3.67244658239
BK73	North Side-South Side	46070	0.483828955937	0.516171044063	0.373106142826	0.528912524419	0.0295202952029	0.0436726720208	0.119318428478	0.10149772086	0.678836553071	0.100347297591	27035	19172	70.9881598164	0.935121139264	0.0648788607361	0.831629459628	0.250991028583	0.293396620071	0.196901731692	0.444345921135	20944	19172	0.0846065699006	0.0127482811306	0.0120320855615	0.0427807486631	0.149488837889	0.850511162111	31774	0.204695663121	0.317838484295	0.477465852584	2.19967532467
BK76	Greenpoint	31522	0.491688344648	0.508311655352	0.149895311211	0.763498508978	0.00815303597487	0.0500285514878	0.0575788338303	0.0568809085718	0.751665503458	0.13387475414	21138	15124	74.9780150753	0.939019774813	0.0609802251868	0.839724940491	0.0529621793176	0.212840518381	0.191351494314	0.547474213171	17302	15124	0.125881400994	0.0199976881285	0.0225407467345	0.166570338689	0.189037291722	0.810962708278	25261	0.11036776058	0.403388622778	0.486243616642	1.82187030401
BK90	East Williamsburg	33155	0.470125169658	0.529874830342	0.329573216709	0.451937867591	0.0879806967275	0.118142060021	0.0679837128638	0.0845121399487	0.670245815111	0.177258332077	19711	14888	62.6027673294	0.913297143726	0.0867028562731	0.773710370768	0.20278076303	0.313876947877	0.206273508866	0.452377753895	15814	14888	0.0585557101302	0.00999114708486	0.0117617301126	0.0595674718603	0.160934981193	0.839065018807	25061	0.237979330434	0.390447308567	0.371573360999	2.09656001012
BK09	Brooklyn Heights-Cobble Hill	23498	0.502383181547	0.497616818452	0.0743467529151	0.765214060771	0.0531960166822	0.0711124351008	0.0885607285726	0.0704740829006	0.660694527194	0.180270661333	14848	11346	119.853472589	0.94692887931	0.0530711206896	0.848757271284	0.0202714613079	0.123655913978	0.115635466244	0.503701745108	12735	11346	0.109069493522	0.00235571260306	0.00691009030231	0.019473890852	0.43689405958	0.563105940419	18297	0.017817128491	0.181395857244	0.800787014264	1.84515115822
BK38	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill	35373	0.487009866282	0.512990133718	0.23763887711	0.43196788511	0.21818901422	0.08526277104	0.118254035564	0.0829728889266	0.663811381562	0.134961693947	20244	15085	92.8848193569	0.899130606599	0.1008693934	0.815909844216	0.204043752071	0.254888962545	0.155916473318	0.432880344713	17033	15085	0.114366230259	0.0112722362473	0.00833675805788	0.0294722010215	0.243619489559	0.75638051044	25979	0.160976173063	0.303437391739	0.535586435197	2.07673339987
BK68	Fort Greene	26982	0.421280853902	0.578719146097	0.189051960566	0.266177451634	0.41768586465	0.0842784078274	0.105255355422	0.103995256097	0.627307093618	0.163442294863	15111	11560	75.6057525951	0.882205016213	0.117794983787	0.775692041522	0.21124567474	0.279238754325	0.183564013841	0.465138408304	13108	11560	0.118095819347	0.00556911809582	0.00617943240769	0.0443240768996	0.218944636678	0.781055363321	19007	0.191981901405	0.325932551165	0.48208554743	2.05843759536
BK69	Clinton Hill	36413	0.47818086947	0.52181913053	0.163210941147	0.356218932799	0.393321066652	0.0521791667811	0.108560129624	0.0879081646664	0.666547661549	0.13698404416	21020	14937	77.6436031331	0.907183634633	0.0928163653663	0.794202316395	0.128941554529	0.241547834237	0.190064939412	0.502577492133	17006	14937	0.121662942491	0.00617429142655	0.00982006350699	0.0373397624368	0.335944299391	0.664055700609	24690	0.110814094775	0.36711219117	0.522073714054	2.14118546395
BK35	Stuyvesant Heights	64331	0.448803842626	0.551196157373	0.211904058696	0.0464783696818	0.698123766147	0.0292238578601	0.14324353733	0.136637080101	0.575958713528	0.14416066904	30085	24360	52.5474137931	0.840884161542	0.159115838458	0.697413793103	0.341461412151	0.384154351396	0.23210180624	0.366256157635	28484	24360	0.14478303609	0.0114801291953	0.0120769554838	0.0448672939194	0.230213464696	0.769786535303	41000	0.239756097561	0.544463414634	0.215780487805	2.25849599775
BK75	Bedford	70095	0.474227833654	0.525772166346	0.186917754476	0.26078892931	0.506812183465	0.026521149868	0.185334189314	0.15095227905	0.550367358585	0.113346173051	31029	24225	50.5418988648	0.88378613555	0.116213864449	0.76858617131	0.348689370485	0.382745098039	0.238348813209	0.362105263158	28254	24225	0.142599277978	0.0116089757202	0.0107241452538	0.0376937778721	0.197481940144	0.802518059855	40026	0.242042672263	0.523484734922	0.234472592815	2.48088766192
BK77	Bushwick North	61817	0.513645113804	0.486354886196	0.749906983516	0.0964783150266	0.0854295743889	0.058964362554	0.145251306275	0.13934678163	0.627804649206	0.0875972628888	30446	18885	48.1552819698	0.898344610129	0.101655389871	0.79639925867	0.371247021445	0.359915276674	0.269949695525	0.360762509928	20718	18885	0.0884737909064	0.00810889081957	0.0201756926344	0.0497634906844	0.102779984114	0.897220015885	37259	0.494135645079	0.34762070909	0.15824364583	2.98373395115
BK78	Bushwick South	71247	0.476427077631	0.523572922369	0.599786657684	0.0923547658147	0.271155276713	0.0220781225876	0.135458335088	0.14672898508	0.591589821326	0.126222858506	34416	24164	48.1336906141	0.861372617387	0.138627382613	0.746109915577	0.361157093196	0.401878828008	0.235639794736	0.35180433703	27577	24164	0.123762555753	0.00598324690865	0.017188236574	0.0417014178482	0.169260056282	0.830739943718	44391	0.34297492735	0.476222657746	0.180802414904	2.58356601516
BK99	park-cemetery-etc-Brooklyn	416	0.432692307682	0.567307692294	0.206730769226	0.576923076909	0.180288461534	0.0	0.127403846151	0.180288461534	0.624999999985	0.0673076923061	237	170	67.5588235254	0.91983122359	0.0801687763679	0.899999999947	0.482352941148	0.0	0.482352941148	0.482352941148	181	170	0.0607734806596	0.0	0.0	0.0	0.158823529402	0.841176470539	251	0.290836653375	0.199203187243	0.509960159342	2.29834254131
BK82	East New York	91956	0.443766584018	0.556233415981	0.280699464961	0.0167036408717	0.668711122711	0.01750837357	0.163763104093	0.169852973161	0.529698986472	0.136684936274	37219	30771	45.4892593676	0.865767484349	0.134232515651	0.706639368236	0.26765460986	0.407201585909	0.265217250008	0.320074095739	34953	30771	0.119646382285	0.0057219695019	0.00346179154865	0.0398249077332	0.235936433655	0.764063566345	53572	0.24693869932	0.632121257373	0.120940043306	2.63084713758
BK83	Cypress Hills-City Line	47526	0.47807515886	0.521924841139	0.610697302529	0.056747885368	0.239069141102	0.0725708033497	0.155788410554	0.162248032656	0.577452341876	0.104511214914	20586	13634	53.1373771453	0.921840085495	0.078159914505	0.79998533079	0.210429807833	0.344946457386	0.249523250697	0.385726859322	15892	13634	0.142084067455	0.0111376793355	0.00912408759124	0.0466272338283	0.320375531759	0.679624468241	27784	0.299524906421	0.592175352721	0.108299740858	2.9905612887
BK93	Starrett City	12822	0.346435813445	0.653564186554	0.210263609421	0.292700046794	0.452347527686	0.0248791140228	0.117298393386	0.106223678053	0.482218062704	0.294259865855	4836	6378	36.6635308874	0.86186931348	0.138130686517	0.539981185324	0.308403888366	0.503606146127	0.255566008153	0.23251803073	6466	6378	0.0136096504794	0.00634085988245	0.00634085988245	0.00216517166718	0.0180307306365	0.981969269362	8831	0.179141660061	0.594496659494	0.226361680444	1.9829879369
BK33	Carroll Gardens-Columbia Street-Red Hook	39422	0.468367916392	0.531632083608	0.215691745726	0.587032621379	0.115443153569	0.0595606514129	0.120338897063	0.0895692760387	0.643118055908	0.146973770991	23395	17628	93.14187656	0.906860440265	0.0931395597349	0.810642160199	0.121851599728	0.206319491718	0.154810528704	0.506126616746	19399	17628	0.0912933656374	0.00427857106036	0.00778390638692	0.020001030981	0.26480599047	0.73519400953	29264	0.129066429743	0.288853198469	0.582080371788	2.03216660653
BK37	Park Slope-Gowanus	72864	0.47913921827	0.52086078173	0.174132630654	0.662768994291	0.0632411067194	0.0640096618357	0.113924571805	0.0758124725516	0.67785188845	0.132411067194	48461	31068	110.746588129	0.935226264419	0.0647737355812	0.89416763229	0.0435174456032	0.110917986352	0.124147032316	0.591605510493	33650	31068	0.0767310549777	0.00196136701337	0.00974739970282	0.0132243684993	0.387601390498	0.612398609502	54482	0.0789985683345	0.207683271539	0.713318160126	2.16534918276
BK32	Sunset Park West	54932	0.535789703633	0.464210296366	0.620039321343	0.176745794801	0.0306196752348	0.156356950411	0.148383455909	0.110245394306	0.627375664458	0.113995485327	28089	17023	56.8971391646	0.896685535263	0.103314464737	0.833636844269	0.256594019855	0.312400869412	0.263408329906	0.399577042824	18372	17023	0.0734269540605	0.0109405617244	0.0117025908992	0.046211626388	0.233625095459	0.76637490454	35838	0.404682180925	0.369496065629	0.225821753446	2.98998475941
BK34	Sunset Park East	71460	0.511656870977	0.488343129023	0.332297788973	0.141141897565	0.0186118108032	0.490792051497	0.148068849706	0.124853064652	0.608326336412	0.11875174923	35965	20544	48.9206094237	0.889142221604	0.110857778396	0.83406347352	0.299698208723	0.366725077881	0.283683800623	0.335621105919	21906	20544	0.0621747466447	0.010225508993	0.0114580480234	0.0409020359719	0.204293224299	0.795706775701	45902	0.518691995991	0.336150930243	0.145157073766	3.26211996713
BK40	Windsor Terrace	22571	0.473971024766	0.526028975233	0.156395374596	0.660006202649	0.0583492091622	0.09782464224	0.118647822427	0.0777546409109	0.64742368526	0.156173851402	13787	9510	93.3966876971	0.941394066874	0.0586059331254	0.848370136697	0.0656151419558	0.162565720294	0.159411146162	0.572660357518	10030	9510	0.0518444666001	0.00199401794616	0.00957128614157	0.0226321036889	0.450788643533	0.549211356466	16327	0.0967109695596	0.344827586207	0.558461444233	2.25034895314
BK61	Crown Heights North	100130	0.443843004095	0.556156995905	0.115949265954	0.108039548587	0.735653650255	0.0211125536802	0.116468590832	0.140856886048	0.584500149805	0.158174373315	49622	40818	49.4152702239	0.869352303414	0.130647696586	0.747072370033	0.266549071488	0.376598559459	0.265863099613	0.343230927532	46002	40818	0.112690752576	0.0102821616451	0.00778227033607	0.0336072344681	0.147998432064	0.852001567936	66880	0.214668062201	0.543301435407	0.242030502392	2.17664449372
BK64	Prospect Heights	20449	0.475328866937	0.524671133062	0.123429018534	0.499731038192	0.273216294195	0.0697344613428	0.102254388968	0.0589270868991	0.715878527067	0.122939997066	14043	9394	95.3049819032	0.924873602506	0.0751263974934	0.880987864593	0.0723866297636	0.160953800298	0.143176495635	0.584415584415	10271	9394	0.0853860383603	0.00477071365981	0.00233667607828	0.0187907701295	0.327655950606	0.672344049393	15979	0.0806683772451	0.248576256336	0.670755366418	1.99094538019
BK60	Prospect Lefferts Gardens-Wingate	69397	0.455999538885	0.544000461115	0.101157110538	0.102612504863	0.754672392178	0.0204475697797	0.134141245299	0.112540887935	0.57336772483	0.179950141937	36910	26016	53.4575837946	0.850690869683	0.149309130317	0.812115621156	0.20821801968	0.304658671587	0.283479397294	0.396986469865	28089	26016	0.0738011321157	0.00587418562426	0.00968350599879	0.016127309623	0.163591635916	0.836408364083	46554	0.186256820037	0.592065128668	0.221678051295	2.47061127132
BK63	Crown Heights South	41243	0.475886817157	0.524113182843	0.076473583396	0.260407826783	0.634580413646	0.0139902528914	0.150304294062	0.148970734428	0.554542589045	0.146182382465	19859	14662	52.5479129723	0.843043456367	0.156956543633	0.771040785704	0.23830309644	0.368435411267	0.242668121675	0.369390260537	15630	14662	0.0619321817018	0.00978886756237	0.00850927703134	0.014267434421	0.150252353021	0.849747646978	24602	0.204861393383	0.558369238273	0.236769368344	2.63870761356
BK30	Dyker Heights	45216	0.495289278132	0.504710721868	0.0931086341118	0.523664189667	0.00497611464968	0.369824840764	0.114340056617	0.111487084218	0.558452760085	0.21572009908	21774	14966	70.980722972	0.91687333517	0.0831266648296	0.772083389015	0.141253507951	0.212748897501	0.245088868101	0.501670453027	16052	14966	0.0676551208572	0.00548218290555	0.00828557189135	0.0221156242213	0.471936389148	0.528063610851	31799	0.293814270889	0.46671278971	0.239472939401	2.81684525293
BK31	Bay Ridge	83821	0.476598942986	0.523401057014	0.160747306761	0.666730294318	0.0132186444924	0.138223118312	0.120661886639	0.103208026628	0.580725593825	0.195404492907	42180	34990	75.1891969134	0.914959696538	0.0850403034613	0.771163189482	0.111231780509	0.223035152901	0.221920548728	0.495227207774	37125	34990	0.0575084175084	0.00228956228956	0.00778451178451	0.0197171717172	0.354501286082	0.645498713918	60139	0.146776634131	0.423119772527	0.430103593342	2.2578047138
BK27	Bath Beach	29311	0.491999590597	0.508000409402	0.121217290437	0.53553273515	0.0197536760943	0.313500051175	0.11917027737	0.0935484971512	0.547473644707	0.239807580772	13403	10726	64.4979489091	0.920689397895	0.0793106021039	0.686649263471	0.152619802349	0.273168002983	0.245198582882	0.448070110013	11640	10726	0.0785223367697	0.0016323024055	0.00910652920961	0.0447594501718	0.417024053701	0.582975946298	21251	0.236977083431	0.505764434615	0.257258481954	2.51812714776
BK28	Bensonhurst West	86592	0.483670546933	0.516329453067	0.144355136733	0.469073355506	0.00635162601626	0.371015798226	0.112735587583	0.118948632668	0.558492701404	0.209823078344	40380	29717	58.516253323	0.902724120852	0.0972758791481	0.758858565804	0.182420836558	0.277955379076	0.280109028502	0.422047986001	31897	29717	0.0683449854218	0.00329184562811	0.0103771514562	0.0291876979026	0.354409933708	0.645590066292	60636	0.311184774721	0.491539679398	0.19727554588	2.71473806314
