count	NTACODE	NTANAME	POP_TOT	POP_MALE_RT	POP_FEMALE_RT	RACE_HIS_LAT_RT	RACE_WHITE_RT	RACE_BLACK_RT	RACE_ASIAN_RT	POP_UNDER10YR_RT	POP_10TO19YR_RT	POP_20TO59YR_RT	POP_OVER60YR_RT	LABOR_FORCE	HOUSEHOLD_TOT	HOUSEHOLD_INCOME_AVE	EMPLOYED_RT	UNEMPLOYED_RT	HOUSEHOLD_WITHEARNING_RT	HOUSEHOLD_FOODSTAMP_RT	HOUSEHOLD_LT25K_RT	HOUSEHOLD_25KTO50K_RT	HOUSEHOLD_50KTO200K_RT	HOUSEUNITS_TOT	HOUSEUNITS_OCCUPIED	HOUSEUNITS_VACANT_RT	HOUSEUNITS_NOPLUMBING_RT	HOUSEUNITS_NOKITCHEN_RT	HOUSEUNITS_NOPHONE_RT	HOUSEUNITS_OWNER_RT	HOUSEUNITS_RENTER_RT	POP_OVER25YR	EDU_LT12_RT	EDU_PRIORCOLLEGE_RT	EDU_COLLEGE_RT	POP_PERHOUSEHOLD	RPT_YR	COUNT_PER1K
1087	BX31	Allerton-Pelham Gardens	33404	0.480750808286	0.519249191713	0.286492635612	0.277421865645	0.323434319243	0.0927433840258	0.112112321878	0.142887079392	0.518381032212	0.226619566519	15798	9707	78.3406304728	0.856057728826	0.143942271173	0.763572679509	0.134336046152	0.217368909034	0.184609045019	0.547130936437	10295	9707	0.0571151044196	0.0030111704711	0.00932491500728	0.0151529868868	0.596373750901	0.403626249098	22535	0.19498557799	0.531750610162	0.273263811848	3.24468188441	2014	32.54101
2221	SI12	Mariner's Harbor-Arlington-Port Ivory-Graniteville	30473	0.464443933974	0.535556066025	0.385390345552	0.232139927149	0.275292882224	0.0790535884225	0.13615331605	0.172841531848	0.569454927313	0.121550224789	13701	10025	69.4805486284	0.9115393037	0.0884606962995	0.769476309226	0.216159600997	0.239102244389	0.244987531172	0.486882793017	11198	10025	0.104750848366	0.00321485979639	0.00919807108411	0.0228612252188	0.602793017456	0.397206982543	18472	0.175454742313	0.622022520571	0.202522737116	2.72128951598	2014	72.88419
671	BK46	Ocean Parkway South	19541	0.489893045391	0.510106954608	0.0859219077836	0.856404482882	0.00711324906606	0.0389437592753	0.166061102298	0.155979734916	0.476434164065	0.201524998721	8260	6607	67.9427122748	0.896973365616	0.103026634382	0.748751324352	0.152414106251	0.276373543211	0.201907068261	0.468593915543	7199	6607	0.0822336435615	0.00513960272259	0.00513960272259	0.0225031254341	0.438474345391	0.561525654608	11672	0.14007882111	0.523817683344	0.336103495545	2.71440477844	2006	34.33806
3540	QN29	Elmhurst	84904	0.513309149157	0.486690850843	0.449861019504	0.065921511354	0.0112244417224	0.458070291152	0.10997126166	0.107874776218	0.633468387826	0.148685574296	44201	27528	57.9207534147	0.932739078301	0.0672609216986	0.842342342342	0.156676838128	0.284982563208	0.26318657367	0.429344667248	29251	27528	0.0589039690951	0.00420498444497	0.0185634679156	0.0233838159379	0.242262423714	0.757737576286	59360	0.31236522911	0.450033692722	0.237601078167	2.90260162046	2006	41.69415
2345	QN76	Baisley Park	34293	0.4674131747	0.532586825299	0.10938092322	0.00580293354329	0.776776601639	0.0446446796722	0.126119033039	0.162861225323	0.55451549879	0.156504242848	17905	10364	72.4095426476	0.862049706785	0.137950293214	0.831242763411	0.199054419143	0.18979158626	0.219992280972	0.549112311848	11643	10364	0.109851412866	0.00807352057029	0.0169200377909	0.0201838014257	0.617136240833	0.382863759166	21697	0.187721804858	0.640872009955	0.171406185187	2.94537490337	2006	68.3813
3040	BK28	Bensonhurst West	86592	0.483670546933	0.516329453067	0.144355136733	0.469073355506	0.00635162601626	0.371015798226	0.112735587583	0.118948632668	0.558492701404	0.209823078344	40380	29717	58.516253323	0.902724120852	0.0972758791481	0.758858565804	0.182420836558	0.277955379076	0.280109028502	0.422047986001	31897	29717	0.0683449854218	0.00329184562811	0.0103771514562	0.0291876979026	0.354409933708	0.645590066292	60636	0.311184774721	0.491539679398	0.19727554588	2.71473806314	2007	35.10717
2035	BX07	Bronxdale	33728	0.476755218216	0.523244781784	0.501482447818	0.14892670778	0.289996442125	0.0415381878558	0.124911053131	0.13167101518	0.574656072106	0.168761859582	16507	13479	45.9741078715	0.858363118676	0.141636881323	0.717412270939	0.338378217968	0.393797759477	0.252540989687	0.350100155798	14336	13479	0.0597795758928	0.00530133928571	0.00327845982143	0.0362025669643	0.120854662809	0.879145337191	22720	0.280545774648	0.534110915493	0.185343309859	2.35267857143	2007	60.335625
2103	MN21	Gramercy	26075	0.435934803451	0.564065196548	0.064506232023	0.772809204218	0.026807286673	0.109261744966	0.04184084372	0.050623202301	0.747420901246	0.160115052732	18674	14877	111.828157559	0.906179715111	0.093820284888	0.830812663843	0.05115278618	0.139611480809	0.115413053707	0.552329098608	17277	14877	0.13891300573	0.00254673843838	0.01284945303	0.0461306939862	0.341533911407	0.658466088593	20982	0.0338861881613	0.180106758174	0.786007053665	1.50923192684	2008	80.65196
963	QN07	Hollis	21520	0.449581784386	0.550418215613	0.122072490706	0.0335037174721	0.625836431226	0.128531598513	0.100046468401	0.134897769517	0.589451672862	0.175604089219	12288	6273	75.3746213932	0.863118489583	0.136881510417	0.857803283914	0.161804559222	0.186673043201	0.234178224135	0.54248366013	6843	6273	0.0832967996492	0.014175069414	0.0378488966827	0.0407715914072	0.574685158615	0.425314841383	14430	0.190228690229	0.585031185031	0.22474012474	3.1448195236	2010	44.74907
14022	MN17	Midtown-Midtown South	28228	0.497520192716	0.502479807283	0.0711704690378	0.681982428794	0.0418024656369	0.17376363894	0.0436446081904	0.0588422842567	0.718825279864	0.178687827689	19233	15964	119.439989977	0.931004003535	0.0689959964644	0.841267852668	0.0658356301678	0.189488849912	0.136494612879	0.39213229767	21396	15964	0.253879229762	0.00682370536549	0.0310338381006	0.0359880351467	0.224755700326	0.775244299674	22526	0.0378229601349	0.191822782562	0.770354257302	1.31931202094	2006	496.7408
